,mean,std,ev,synergy
A,36.83610976043201,18.867776168089776,1.325542694504243,
B,35.1203551715985,16.744495141249786,-0.39021189432926917,
C,36.315165830356335,18.726852415316227,0.8045987644285688,
D,36.604701577868425,18.76069032972484,1.0941345119406591,
E,37.42981721862749,19.654025341873343,1.9192501526997248,
F,35.54691220961279,15.499832480739554,0.036345143685025505,
G,34.46157776610359,17.435302080692388,-1.0489892998241785,
H,37.947711768821705,16.7506366292554,2.4371447028939386,
I,35.534805227154166,18.848103923802434,0.024238161226399768,
J,36.204736304016244,12.77584118098274,0.6941692380884774,
K,36.773869283145224,15.1085315987229,1.2633022172174577,
L,35.413305022410746,19.037341532821294,-0.09726204351701995,
M,36.99333934862336,17.82997494450219,1.482772282695592,
N,36.090885848178225,19.45179494626976,0.5803187822504583,
O,35.2040689628537,17.980228115168146,-0.30649810307406966,
P,36.22133035477028,17.509667311330478,0.7107632888425144,
Q,34.08550761664485,13.959867258499175,-1.4250594492829194,
R,36.458458647114725,19.875202587668397,0.9478915811869584,
S,41.834737024261244,21.213123579189045,6.324169958333478,
T,35.99928532237829,19.332895167281972,0.48871825645052525,
U,33.18424968684225,16.80193125076404,-2.3263173790855163,
V,33.08176270461487,15.37676712193434,-2.428804361312899,
W,34.29595648493202,14.473142224285716,-1.2146105809957461,
X,40.7264021040094,14.17100333682069,5.215835038081636,
Y,36.732045609214424,15.042851477680223,1.2214785432866577,
Z,42.37019042820515,15.863337183154092,6.859623362277382,
?,54.91919347490253,25.15108116397555,19.40862640897476,
??,74.49281336443022,23.415767651207812,38.98224629850245,0.16499348055292984
A?,57.615637386815365,25.261368141191568,22.1050703208876,1.3709012174085942
AA,32.773381663886305,16.345984596701904,-2.7371854020414617,-5.388270791049948
AB,37.43893817606117,17.738410757492918,1.928371110133405,0.9930403099584311
AC,38.87378993147899,19.641786354478597,3.363222865551222,1.2330814066184104
AD,38.680081537296616,19.322344762807017,3.1695144713688492,0.7498372649239471
AE,38.19872408559971,20.244416782112882,2.688157019671941,-0.5566358275320269
AF,36.784232816220786,15.419700799351402,1.27366575029302,-0.08822208789624852
AG,36.481732694163796,18.1431350800102,0.9711656282360295,0.694612233555965
AH,39.66646300306374,17.07812529574811,4.155895937135973,0.3932085397377918
AI,36.197132643463725,19.2251703671508,0.6865655775359585,-0.6632152781946843
AJ,38.120233207722556,12.371202380235937,2.60966614179479,0.5899542092020695
AK,38.40351662342884,15.123887296766455,2.892949557501076,0.30410464577937546
AL,38.23383323347108,20.1555979210193,2.723266167543315,1.494985516556092
AM,39.92300551016355,18.90561154988376,4.412438444235782,1.6041234670359472
AN,38.342052802656305,20.158902624057713,2.8314857367285384,0.9256242599738371
AO,35.281036994396544,18.039004984553916,-0.2295300715312223,-1.2485746629613956
AP,38.15239119207892,18.050424707556143,2.641824126151157,0.6055181428043994
AQ,36.194744622285654,14.144212345136552,0.6841775563578878,0.7836943111365642
AR,38.92763360717013,20.636187564148262,3.417066541242363,1.1436322655511617
AS,43.65968037940928,21.663383340613038,8.149113313481514,0.4994006606437935
AT,38.48934539409196,20.24582029331711,2.9787783281641964,1.1645173772094282
AU,33.602208886420954,16.826911429997715,-1.9083581795068127,-0.9075834949255395
AV,35.117089397089394,15.85139986140931,-0.3934776688383721,0.709783997970284
AW,35.69513473774882,14.509692142438176,0.18456767182105693,0.07363555831256008
AX,42.63023602503662,14.110303578502094,7.119668959108857,0.5782912265229783
AY,37.90511661390368,15.474277493529897,2.394549547975913,-0.1524716898149876
AZ,45.284492426667086,15.830860619627376,9.77392536073932,1.5887593039576942
B?,53.60001982967354,24.456303485950166,18.089452763745776,-0.9289617508997168
BB,31.838189803322514,13.576827578586995,-3.672377262605252,-2.891953473946714
BC,33.6767863593671,15.495468681719386,-1.8337807065606668,-2.2481675766599665
BD,35.329635718438624,17.1595527843619,-0.18093134748914252,-0.8848539651005325
BE,37.44571697427233,18.059555194254802,1.9351499083445631,0.40611164997410754
BF,33.433548975599216,12.838978775670846,-2.0770180903285507,-1.723151339684307
BG,32.83523857596722,15.035879461022976,-2.675328489960549,-1.2361272958071012
BH,36.14318739936493,14.61269465243637,0.632620333437167,-1.4143124751275025
BI,35.471477364219616,17.041558750014723,-0.03908970170814996,0.32688403139471944
BJ,35.815276663993586,12.165451198213178,0.3047095980658199,0.0007522543066116327
BK,36.56254159485333,14.593907130171464,1.0519745289255624,0.17888420603737387
BL,35.39163557858377,18.169062937430684,-0.11893148734399972,0.3685424505022894
BM,35.479486348537634,15.907080526131356,-0.031080717390132406,-1.1236411057564553
BN,34.40059056087282,17.055475613484226,-1.109976505054945,-1.3000833929761342
BO,35.79926057319891,16.615563477342832,0.28869350727114096,0.9854035046744798
BP,32.145112435832466,12.656171831755977,-3.3654546300953,-3.6860060246085453
BQ,32.955344543578846,11.977653283621585,-2.5552225223489202,-0.7399511787367317
BR,35.81436142400671,18.283080184437146,0.30379435807894595,-0.25388532877874326
BS,40.45389466843253,19.75354624401448,4.943327602504766,-0.9906304614994426
BT,34.41701173566388,16.979634945788366,-1.0935553302638894,-1.1920616923851455
BU,33.85223743678588,15.639249520385128,-1.658329629141889,1.0581996442728965
BV,30.94692187824338,12.368945001398183,-4.563645187684386,-1.7446289320422181
