,mean,std,count,ev,synergy,pct
?,54.30145574444328,29.90928670925053,4472557,15.735231739814964,,14.622235558155904
A,39.6563011600437,22.026281522802197,15022710,1.0900771554153792,,49.11409834281917
B,36.93654556247711,19.50862086526879,3694257,-1.62967844215121,,12.077721103692218
C,39.279488106124205,22.144870906560676,4241973,0.7132641014958878,,13.868381875812263
D,39.284027347885534,21.847348171118245,7642419,0.7178033432572164,,24.985539782304905
E,40.4348906779739,22.90354094110665,19032075,1.8686666733455795,,62.22200942559033
F,36.720684566139525,17.884350963317868,3511947,-1.8455394384887924,,11.481690742400588
G,36.638439362054356,20.32584237688818,5983143,-1.927784642573961,,19.560829817066967
H,39.69279250976096,19.829259527237056,3571368,1.1265685051326457,,11.675957212140645
I,39.03474570817482,22.306822512406356,15849900,0.46852170354650013,,51.818450021590614
J,36.68897025462694,14.23727328498976,1761047,-1.8772537500013797,,5.757432283810755
K,38.38441564445986,17.501478992494633,1730325,-0.18180836016846058,,5.656992128253729
L,38.678248037257625,22.148252721103997,8063208,0.11202403262930716,,26.361235134713127
M,39.21738367804144,20.8974322720134,3853937,0.651159673413126,,12.599766674922797
N,39.40904686984791,22.6110579399508,11997564,0.8428228652195955,,39.22391753353868
O,37.8309754090825,20.993573750329368,12889515,-0.7352485955458192,,42.13999386936464
P,38.545350894078844,20.676922606591514,3844180,-0.020873110549473495,,12.567867885854056
Q,34.516589239330855,15.683747138254425,2388476,-4.049634765297462,,7.808700637465767
R,40.03944959345064,23.25442432124012,12169986,1.4732255888223236,,39.787620824387375
S,43.21709303993766,24.618793291101795,9012721,4.650869035309341,,29.46550026795375
T,39.43966801960185,22.706606394677582,12028662,0.8734440149735292,,39.32558695471935
U,35.71035846313104,19.966060785408008,7983192,-2.8558655414972804,,26.09963694816762
V,34.79936215492018,18.27493265600398,4051454,-3.7668618497081354,,13.245513638179002
W,35.647851747576624,16.872397276536827,3364316,-2.9183722570516935,,10.9990372496254
X,40.8592771241808,15.84677894232924,1775049,2.293053119552482,,5.803209350997444
Y,37.69053259685307,17.136878949106553,3315228,-0.8756914077752498,,10.83855269927115
