,mean,std,count,ev,synergy,pct
?,56.106561972974376,29.0794949316653,5487755,17.299973760107903,,13.678844090059268
A,39.901717049640546,21.971185647198276,19722668,1.095128836774073,,49.16095937446206
B,37.12486126238212,19.38209572236972,4819349,-1.6817269504843537,,12.012767258484216
C,39.475276364860505,22.045067634264736,5688585,0.6686881519940329,,14.179435362557149
D,39.51108186938733,21.676344080934836,9962173,0.7044936565208602,,24.83183219097755
E,40.68202386877498,22.727506551491338,24887997,1.875435655908504,,62.03612054052392
F,36.96783052444132,17.838632994815235,4558203,-1.8387576884251544,,11.361831599231458
G,36.883871390839566,20.329052990526975,7822491,-1.9227168220269064,,19.498435113246096
H,39.98432826478889,19.657666591078467,4649198,1.1777400519224202,,11.588646830227548
I,39.243761142634185,22.264896973474237,21370059,0.43717292976771205,,53.2672659869779
J,37.055597566633566,14.257625245282672,2306270,-1.750990646232907,,5.748636329351618
K,38.6583872488786,17.369657067869472,2281964,-0.1482009639878754,,5.688050901530409
L,38.86126456309932,21.978127588774345,10707113,0.054676350232846005,,26.68867859108994
M,39.45459312729338,20.76491069280091,5026695,0.648004914426906,,12.52960039092133
N,39.621807345749524,22.487770317351266,16012852,0.8152191328830511,,39.91382741124444
O,38.05072158784774,20.94133834695998,16926560,-0.7558666250187329,,42.19134695718625
P,38.7856554965814,20.61300051751218,5078684,-0.020932716285074093,,12.659188797364052
Q,34.954990060026795,15.610316261688126,3101115,-3.851598152839678,,7.72987653245164
R,40.19569401354705,23.032611714124705,16241621,1.389105800680575,,40.48405977104162
S,44.14315288192621,24.26272970156639,10893773,5.33656466905974,,27.15394955122764
T,39.62722725469632,22.599174250656944,16194376,0.8206390418298497,,40.36629631603409
U,35.88579655634755,19.93182745725185,10414756,-2.9207916565189223,,25.95994601799995
V,35.031302076762444,18.232429105823766,5310670,-3.775286136104029,,13.237439890037923
W,35.867753245193065,16.790080675762592,4428396,-2.938834967673408,,11.038273110414387
X,41.5042812808515,15.81614951135686,2287166,2.6976930679850284,,5.701017469271951
Y,37.99842706857594,17.13250069700111,4295165,-0.8081611442905299,,10.70617991803195
Z,43.58180237293171,17.877226611491388,2342756,4.775214160065239,,5.839581771608042
??,75.5364690818196,25.249118079008248,146823,36.72988086895313,2.1299333487373246,0.36597277499355785
A?,58.68310839596315,28.75113638438795,2452905,19.87652018309668,1.4814175862147039,6.114140493284928
AA,34.49486667427916,19.153523588480443,4405039,-4.311721538587314,-6.50197921213546,10.980053171402622
AB,39.35674716562232,20.185815788308968,2142181,0.5501589527558508,1.1367570664661315,5.339626115175924
AC,41.73253202435785,22.604774156857577,2523704,2.925943811491379,1.1621268227232733,6.290614931872676
AD,41.36199367401806,22.030158854745455,4425558,2.5554054611515866,0.7557829678566534,11.03119907749426
AE,41.3089628592544,23.128741029631442,11600171,2.5023746463879277,-0.4681898462946492,28.914725698765146
AF,37.95904101170644,17.669569523551143,1991724,-0.8475472011600331,-0.10391834950895174,4.964595188092254
AG,38.716586229364516,20.78303659902976,3468540,-0.09000198350195632,0.7375860017508771,8.645724504853838
AH,41.54024973744847,19.85888992278382,2041504,2.733661524581997,0.4607926358855039,5.088677414577064
AI,39.67958616510108,22.484131296031254,9817925,0.8729979522346056,-0.6593038143071794,24.472277891942177
AJ,38.622627885125375,13.778091136718594,1006802,-0.18396032774109727,0.4719014817177367,2.5095667695733233
AK,40.032379726796684,17.31484347065737,999329,1.2257915139302114,0.27886364114401374,2.490939479928466
AL,41.37855837262749,22.709644895105438,4834689,2.5719701597610154,1.4221649727540964,12.051003926910832
AM,42.224693027375956,21.550080175664625,2240835,3.4181048145094834,1.6749710633085044,5.585532261653073
AN,41.52744081784671,22.859054016641874,7182275,2.7208526049802373,0.8105046353231131,17.90262501458801
AO,37.731403381898026,20.831263053305538,7628793,-1.0751848309684462,-1.4144470427237863,19.015621149693366
AP,40.549921169557116,20.93219309623395,2232640,1.7433329566906437,0.6691368362016448,5.5651053061279026
AQ,36.73958972439911,15.584616625217835,1378878,-2.0669984884673624,0.6894708275982424,3.437007880492614
AR,42.24473839128079,23.418240551364715,7341766,3.4381501784143182,0.9539155409596702,18.300174198683813
AS,45.81566190129209,24.490224369479723,4871950,7.009073688425616,0.5773801825918028,12.143881143484768
AT,41.77191500394065,23.138420771373106,7343964,2.965326791074176,1.0495589124702533,18.305652959909477
AU,35.877440492660284,19.792392748192494,4618842,-2.9291477202061884,-1.1034849004613392,11.512981099669634
AV,36.80483274495214,18.501006582672446,2323607,-2.001755467914336,0.6784018314156199,5.791850743987359
AW,36.97238272648201,16.691889054136574,1939547,-1.8342054863844623,0.009500644514872647,4.834538170589282
AX,43.15406502969641,15.65192187346965,1001973,4.347476816829939,0.5546549120708377,2.497529946116209
AY,38.97319063440632,17.486589949064694,1894338,0.1666024215398494,-0.12036527094369376,4.721849673659756
AZ,46.11269135831083,17.864887382199612,1035492,7.306103145444361,1.4357601486050484,2.581079808501592
B?,53.08542617347578,28.574855491106444,558810,14.278837960609309,-1.3394088490142408,1.3928965243466627
BB,32.63478091893137,15.705780962995131,138944,-6.171807293935103,-2.8083533929663957,0.3463334848675269
BC,35.08094477395728,18.008639086161704,577789,-3.725643438909195,-2.712604640418874,1.440203807923505
BD,37.15442344338205,19.476348302168155,1071586,-1.652164769484422,-0.6749314755209284,2.671048146845158
BE,39.348173491391314,20.50345079992425,2692514,0.5415852785248418,0.34787657310069164,6.711392767407044
BF,33.865563697973016,14.51689693415756,489890,-4.941024514893456,-1.4205398759839483,1.221105703749372
