,mean,std,count,ev,synergy,pct
?,55.73167184717382,29.46553373719873,5621393,16.895568129846936,,14.00042299690518
A,39.925887737187146,22.082753964182444,19740161,1.0897840198602609,,49.164078018919994
B,37.131792258324566,19.526021302186038,4808029,-1.7043114590023194,,11.974690220268714
C,39.519826091708154,22.195226137145188,5673105,0.6837223743812686,,14.129214894930447
D,39.54365128989082,21.813664098733952,9971813,0.7075475725639322,,24.83541002133066
E,40.735876658416615,22.880510258592356,24943672,1.8997729410897293,,62.12374034266236
F,36.95079096453142,17.964416722828272,4556399,-1.885312752795464,,11.347990318889956
G,36.89282555670783,20.447009121257224,7809707,-1.9432781606190588,,19.45055282238608
H,39.99244566318953,19.82805257904032,4662355,1.1563419458626427,,11.611880215764286
I,39.295401674872465,22.396290740447174,21309324,0.45929795754558,,53.072174419775216
J,36.969196863352366,14.30718232423305,2304116,-1.8669068539745197,,5.738541787406995
K,38.623163768384195,17.502811430749038,2285319,-0.2129399489426902,,5.691726709529888
L,38.909511099178225,22.109947123647554,10681962,0.07340738185133944,,26.604079529196277
M,39.47013881766875,20.900119706232147,5031348,0.6340351003418618,,12.530879845019353
N,39.68876532267913,22.63520085712361,15975421,0.852661605352246,,39.787762846974395
O,38.065787878536746,21.048632757487237,16893340,-0.7703158387901397,,42.07389624431847
P,38.796884530882394,20.741964159076606,5077245,-0.03921918644449107,,12.645189129975762
Q,34.88916658470783,15.718160116597254,3111318,-3.9469371326190554,,7.748927726256646
R,40.274733893522814,23.19596309614745,16186190,1.4386301761959288,,40.31269592933222
S,43.934520995500144,24.511059362218038,11295468,5.098417278173258,,28.13205373614806
T,39.69007741295124,22.736345101666505,16142131,0.8539736956243544,,40.2029642957637
U,35.892349868497284,20.06053072007097,10368227,-2.9437538488296013,,25.822703327793164
V,34.99740102005956,18.375620797747995,5304004,-3.8387026972673226,,13.209946285071522
W,35.82984501792967,16.910322620250398,4423673,-3.0062586993972147,,11.01742810011478
X,41.373801324135826,15.902551403339933,2306712,2.5376976068089405,,5.745007284144187
Y,37.96624945821995,17.225508410959655,4298331,-0.8698542591069369,,10.705256184847855
Z,43.50514374170347,18.087775689251437,2366954,4.669040024376585,,5.89504366875198
??,68.97733753648049,31.71733665475408,179548,30.141233819153605,-3.6499024405402665,0.4471752727924077
A?,58.500877180659884,28.985861138512607,2491505,19.664773463333,1.6794213136258023,6.205245550151758
AA,34.47399668702468,19.238947929455126,4402689,-4.362107030302205,-6.541675070022727,10.965166165009538
AB,39.3745902287976,20.29721854137734,2135643,0.5384865114707154,1.153013950612774,5.3189494793158145
AC,41.800499366537665,22.71556120807146,2512383,2.964395649210779,1.1908892549692496,6.257243485775434
AD,41.387008490227124,22.118548303825033,4431448,2.550904772900239,0.7535731804760459,11.036792213031443
AE,41.34152982128756,23.24422476787084,11626443,2.505426103960673,-0.48413085698931724,28.956367211722654
AF,37.95804790700729,17.75783229765052,1994823,-0.8780558103195943,-0.08252707738439113,4.968228658618136
AG,38.752747449643095,20.874775423744723,3460300,-0.08335626768379001,0.7701378730750079,8.618088736402346
AH,41.56830386532034,19.97894190871415,2047644,2.732200147993453,0.4860741822705492,5.099782588955248
AI,39.70066186466735,22.579490601050352,9802306,0.8645581473404675,-0.6845238300653733,24.41324247301365
AJ,38.531784568007254,13.786780735991844,1007297,-0.3043191493196318,0.4728036847946271,2.508734771526132
AK,40.01787407419989,17.417743883438018,1000891,1.1817703568730025,0.3049262859554318,2.4927802368194896
AL,41.45190654866816,22.805387534082314,4819835,2.615802831341277,1.4526114296296768,12.00409378516828
AM,42.27130074041831,21.64879781970424,2242246,3.435197023091426,1.7113779028893035,5.5844507692521494
AN,41.58242355985514,22.956774833732595,7171657,2.7463198425282513,0.8038742173157445,17.861450282646313
AO,37.71272695667107,20.884826614388555,7616597,-1.123376760655816,-1.4428449417259372,18.96960055932026
AP,40.578883048855964,21.03531836333075,2229820,1.7427793315290785,0.6922144981133087,5.553503056441545
AQ,36.677507872993225,15.656648860755467,1382257,-2.158595844333661,0.6985572684251338,3.44259557914438
AR,42.32491579476522,23.534135669299488,7314569,3.4888120774383324,0.9603978813821428,18.217381357263175
AS,45.59286679178639,24.713173852654336,5057556,6.756763074459506,0.5685617764259874,12.596152471555675
AT,41.82696724334187,23.218964831428558,7318909,2.9908635260149836,1.0471058105303683,18.228190392640453
AU,35.860384470164774,19.87848094901824,4595155,-2.975719247162111,-1.1217494181927705,11.444514506696795
AV,36.7763782439315,18.573040920182724,2320217,-2.059725473395389,0.6891932040116728,5.778642312432229
